en,ar
proteinuria,بيلة بروتينية
proton pump inhibitor,مثبط مضخة البروتون
rash,طفح جلدي
receptor,مستقبل
recommended dose,الجرعة الموصى بها
rectal,مستقيمي
renal clearance,المصفاة الكلوية
renal failure,قصور كلوي
renal function,وظائف الكلى
renal function tests,اختبارات وظائف الكلى
Renal Impairment,الاعتلال الكلوي
reproductive,تناسلي
respiratory,تنفسي
rheumatoid arthritis,التهاب المفاصل الروماتويدي
Room temperature,درجة حرارة الغرفة
sachet,قروص
safety,السلامة
Sedation,تهدئة
Sedative,مهدئ
seek medical attention,التمس الرعاية الطبية
selective serotonin reuptake inhibitor,مثبط استرداد السيروتونين الانتقائي
serotonin norepinephrine reuptake inhibitor,مثبط استرداد السيروتونين والنورإبينفرين
serum transaminases,ترانس أميناز المصل
shelf life,مدة الصلاحية
shortness of breath,ضيق التنفس
side effect,الأثر الجانبي
Side Effects,الآثار الجانبية
"SIDE EFFECTS: CNS Depression: Sedation, drowsiness, lethargy, and vertigo.",التأثيرات الجانبية: تثبيط الجهاز العصبي المركزي: تهدئة، نعاس، خمول، ودوار.
single dose,جرعة واحدة
Sodium docusate,صوديوم دوكوسات
Sodium starch glycolate,غليكوات النشاء الصودية
solution,محلول
Special Warnings,تحذيرات خاصة
special warnings and precautions for use,التحذيرات والاحتياطات الخاصة للاستعمال
spray,بخاخ
sputum,قشع
statin,ستاتين
steady state,حالة الثبات
Storage,التخزين
"STORAGE: Store at room temperature, between 20°-25°C, away from moisture and light. Keep out of reach of children.",شروط الحفظ: يحفظ في درجة حرارة الغرفة، بين ٢٠°-٢٥°، بعيداً عن الرطوبة والضوء. يحفظ بعيداً عن متناول الأطفال.
store at room temperature,يحفظ في درجة حرارة الغرفة
"Store away from humidity and direct light, in a place of a temperature between 15 -30° C.",شروط الحفظ: يحفظ بعيدا عن الرطوبة والضوء المباشر في مكان لا تتجاوز حرارته ٣٠ درجة.
store below 25 c,يحفظ تحت 25 درجة مئوية
store below 25°c,يحفظ تحت 25 درجة مئوية
subcutaneous,تحت الجلد
sublingual,تحت اللسان
Suicidal thoughts,أفكار انتحارية
suppository,تحاميل
suspension,معلق
sustained release,إطلاق ممتد
swelling,وذمة
syrup,شراب
tablet,قرص
tablets,أقراص
tachycardia,تسارع نبض القلب
teratogenic,مسخ
teratology,علم المسخات
The most common adverse reactions were nausea and dizziness.,كانت ردود الفعل السلبية الأكثر شيوعا الغثيان والدوار.
therapeutic dose,الجرعة العلاجية
therapeutic effect,التأثير العلاجي
therapeutic index,المؤشر العلاجي
therapeutic indications,الاستطبابات العلاجية
therapeutic range,المدى العلاجي
three times daily,ثلاث مرات يومياً
thrombocytopenia,قلة الصفيحات
thrombolytic,حالل تخثر
thrombosis,تخثر
time to peak,الزمن حتى الذروة
tolerability,التحمل
topical,موضعي
toxicity,سمية
transdermal,عبر الجلد
tricyclic antidepressant,مضاد اكتئاب ثلاثي الحلقات
twice daily,مرتين يومياً
ultrasound,تصوير بالأمواج فوق الصوتية
Undesirable Effects,الآثار غير المرغوبة
units,وحدات
urinary,بولي
use in elderly patients,الاستعمال عند المسنين
Use In Paediatric,الاستعمال عند الأطفال
use in paediatric population,الاستعمال عند الأطفال
Use In Pregnancy,الاستعمال خلال الحمل
Vertigo,دوار
vial,قارورة
volume of distribution,حجم التوزع
vomiting,إقياء
Warnings,التحذيرات
week,أسبوع
weight gain,زيادة الوزن
weight loss,فقدان الوزن
with food,مع الطعام
withdrawal symptoms,أعراض الانسحاب
without food,بدون طعام
year,سنة
