en,ar,category
floppy infant syndrome,مُتَلاَزِمَةُ الرَّضَيعِ الرّخو,
flopropione,فلوبروبيون,Pharmaceutical preperations
flora,نَبيت,common entries
floraquin,فلوراكوين,Pharmaceutical preperations
florid,مُزْهِر,common entries
flosequinan,فلوسيكوينان,Pharmaceutical preperations
flossing,تنظيف الأسنان بالخيط,dentistry
flotation device,جِهاز تخفيف الضغط,
flotation therapy,العِلاج بِتخفيف الضغط,
flow chart,مخطط المجريات,Biostatistics
flow cycling,تدوير الجريان,"Chest, pulmonary and cardiothoratic surgery"
flow cytometry,تعداد الخلايا الجرياني,Common entries
flow cytometry,قِياس الجَريان الخُلوِي,
flow cytometry,تعداد الخلايا بالجريان,Laboratory medicine
flow diagram,مبيان أو مُخَطَّط المجريات,Biostatistics
flow rate,معدل الجريان,Ophthalmology and optics
flow sheet,صَحيفَة المتابعة,"Nursing, midwifery and tocology"
flow transducer,مِقياس حجم الجريان,
flow trigger,زِناد الجَريَان,
flower essences,رُوح الزُهْر,"Traditional medicine, folk medicine"
flow-volume curve,مُنحنى حَجم التَدفق,
flow-volume dysequilibrium,خَلَلُ التَّوازُن بين الحَجم والتَدفق,
flow-volume loop,عروة حجم التدفق,
floxuridine,فلوكسوريدين,Pharmaceutical preperations
flu,إنفلونزا,Pharmaceutical preperations
flu like,شبيه بالإنفلونزا,Common entries
flu pandemic,جائحة الإنفلونزا,Infectious diseases
flu syndrome,متلازمة إنفلونزا,Common entries
fluanisone,فلوانيسون,Pharmaceutical preperations
flucloxacillin,فلوكساسيلين,Pharmaceutical preperations
fluconase,فلوكوناز,Common entries
fluctuant,مُتَمَوِّج,common entries
fluctuation,تَمَوُّج,common entries
flucythrinate,فلوسايثرينات,Biochemistry and Chemistry
flucytosine,فلوسيتوزين,Pharmaceutical preperations
fludarabine,فلودارابين,Pharmaceutical preperations
fludeoxyglucose F 18,فلوديوكسي غلوكوز f18,Pharmaceutical preperations
fludiazepam,فليوديازيبام,Pharmaceutical preperations
fludroxycortide,فلودروكسيكورتيد,Pharmaceutical preperations
fluent,طَليق,common entries
fluent aphasia,حُبْسَةٌ طَليقة,psychiatry and psychology
fluid,سائِل,common entries
fluid control,ضبط السوائل,Common entries
fluid dram,دِرْهَمٌ سائِل,Measures
fluid identity,هوية مائعة,sexology
fluid management,تَدبِير السَّوائِل,Physiology
fluid monitoring,مُراقَبة السَّوائل,Physiology
fluid mosaic model,نموذج الـسوائل الموزاييكية,Cardiology and cadiovascular surgery
fluid ounce,أُونْصَةٌ سائِلَة,Physiology
fluid overload,فَرط حمل السَّوائِل,Physiology
fluid overload severity,شِدَّة فَرط حمل السَّوائِل,Physiology
fluid resuscitation,الإِنعَاش بالسَّوائِل,Physiology
fluid retention,احْتِباس السَّوائِل,Physiology
fluid therapy,العِلاج بالسوائِل,Physiology
fluid transport medium,مُسْتَنْبَتُ نقل السوائل,hematology
fluid volume,حَجمُ السَّوائِل,Physiology
fluid volume imbalance,خلل التَوازُن في حَجْم السَّوائِل,Physiology
fluid/electrolyte management,تدبير تَوازُن السَّوائِل والكهارل,Physiology
fluidic ventilator,جهاز تنفسيّ جريانيّ,Physiology
fluidity of gender identity,ميوعة الهوية الجندرية,sexology
fluidized air bed,سرير بمجرى هوائي,Physiology
fluid therapy,علاج السَّوائِل,Physiology
fluids,سوائل,Physiatrics and physical medicine
fluindione,فلوينديون,Pharmaceutical preperations
fluke,دودَةٌ مَثْقوبَة,parasitology
flumazenil,فليومازينيل,Pharmaceutical preperations
flumequine,فلوميكوين,Pharmaceutical preperations
flumethasone,فلوميثاسون,Pharmaceutical preperations
flumidin,فلوميدين,Pharmaceutical preperations
flunoxaprofen,فليونوكسابروفين,Pharmaceutical preperations
fluocinolone acetonide,فلوسينولون أسيتونايد,Biochemistry and Chemistry
fluocinonide,فلوسينونيد,dermatology
fluocortolone,فلوكورتولون,Pharmaceutical preperations
fluonid,فلونيد,Pharmaceutical preperations
fluopromazine,فلوبرومازين,Pharmaceutical preperations
fluorescein angiography,تصوير الأوعية بالفلوروسيين,Ophthalmology and optics
fluorescein dilaurate,فلوريسئين ديلورات,Biochemistry and Chemistry
fluorescence,تَأَلُّق,Biochemistry and Chemistry
fluorescence angiography,تصوير الأوعية التألقي,Ophthalmology and optics
fluorescent antibody,ضد تَأَلُّقِيّ,Immunology
fluorescent antibody test (FA test),اختبار الضِّد المُتأَلِّق,Biochemistry and Chemistry
fluorescent in situ hybridization,تهجين تألقيّ في الموضع,Immunology
fluorescent in situ hybridization (FISH),التَهجِينُ التَألُّقِي في الموضع,Biochemistry and Chemistry
fluorescent microscopy,الفَحْصُ المِجْهَرِيّ التَألُّقِي,Biochemistry and Chemistry
fluorescent treponemal antibody absorption test (FTA-ABS test),اختبار امْتِصاصِ الأضداد المُتأَلِّقة للولَبِيَّات,Biochemistry and Chemistry
fluorhydrocortisone,فلورهيدروكورتيزون,Pharmaceutical preperations
fluoridation,فَلْوَرَة,Biochemistry and Chemistry
fluoride,فلوريد,Biochemistry and Chemistry
fluoride application,تطبيق الفلوريد,Biochemistry and Chemistry
fluoride poisoning,التَّسَمُّمُ بالفلُوريد,toxicology
fluorination,فَلْوَرَة,Biochemistry and Chemistry
fluorine,فلورين,Biochemistry and Chemistry
fluoristan,فلوريستان,Pharmaceutical preperations
fluormetholone,فلورميثولون,Pharmaceutical preperations
fluoroacetamide,فلوروأسيتاميد,Biochemistry and Chemistry
fluoroacetic acid,حمْض فلوروأسيتيك أسيد,Biochemistry and Chemistry
fluorocarbons,مركبات كربونفلور,Biochemistry and Chemistry
fluorochrome stain,صبْغَة تَألُّقِيَّة,Biochemistry and Chemistry
fluorocytosine,فلوروسايتوزسين,Pharmaceutical preperations
fluorodeoxyglucose tracer,قائف فلوروديأوكسيغلوكوز,Radiology and diagnostic technology
fluorodeoxyuridine,فلوروديوكسيوريدين,Pharmaceutical preperations
fluorodopa F 18,فلورودروبا F 18,Biochemistry and Chemistry
fluorometry,قِياسُ التَّأَلُّق,Biochemistry and Chemistry
fluoroquinolone,فلوروكينولون,Pharmaceutical preperations
fluoroquinolones,مركبات فلوروكوينولون,Pharmaceutical preperations
fluoroscope,مِنْظارُ التَّأَلُّق,Biochemistry and Chemistry
fluoroscopic compression device,جهاز الضغط التنظيري,
fluoroscopy,تنْظِير,
fluorosis,التَّسَمُّمُ بالفلور,toxicology
fluorosol,فلوروسول,Pharmaceutical preperations
fluorotrichloromethane,فلوروتريكلوروميثان,Pharmaceutical preperations
fluorouracil,فلورويوراسيل,Pharmaceutical preperations
fluorphenylalanine,فلورفينيلألانين,Pharmaceutical preperations
fluothane,فلوثان,Pharmaceutical preperations
fluoxetine,فلوكسيتين,Pharmaceutical preperations
fluoxetine hydrochloride,فلوكسيتين هيدروكلورايد,Pharmaceutical preperations
fluoxymesterone,فلوكسي ميسترون,Pharmaceutical preperations
flupenthixol,فلوبينثيكسول,Pharmaceutical preperations
flupenthixol decanoate,فلوبينثيكسول ديكونات,Pharmaceutical preperations
flupenthixol hydrochloride,فلوبينثيكسول هيدروكلورايد,Pharmaceutical preperations
flupentixol,فلوبينتيكسول,Pharmaceutical preperations
fluphenazine hydrochloride,فلوفينازين هيدروكلوريد,Pharmaceutical preperations
flupirtine,فلوبيرتين,Pharmaceutical preperations
fluprednidene,فلوبريدنيدين,Pharmaceutical preperations
fluradoline,فلورادولين,Pharmaceutical preperations
flurazepam hydrochloride,فلورازيبام هيدروكلورايد,Pharmaceutical preperations
flurbiprofen,فلوربيبروفين,Pharmaceutical preperations
flurbiprofen sodium,فلوربيبروفين صوديوم,Pharmaceutical preperations
flurithromycin,فلوريثرومايسين,Pharmaceutical preperations
flurobate,فلوروبات,Pharmaceutical preperations
fluroxene,فلوروكسين,Pharmaceutical preperations
flush,احمرارُ الوجه,common entries
flush device,جِهاز تنظيم التسريب,"Nursing, midwifery and tocology"
flutamide,فلوتامايد,Pharmaceutical preperations
flutamide,فلوتاميد,Pharmaceutical preperations
flutazolam,فليوتازولام,Pharmaceutical preperations
fluticasone,فليوتيكاسون,Pharmaceutical preperations
fluticasone,فلوتيكازون,Pharmaceutical preperations
flutoprazepam,فليوتوبرازيبام,Pharmaceutical preperations
flutter-fibrillation,رَفْرَفَةٌ رَجَفانِيَّة,Cardiology and cadiovascular surgery
fluvastatin,فلوفاستاتين,Pharmaceutical preperations
fluvoxamine,فلوفوكسامين,Pharmaceutical preperations
fluvoxamine maleate,فلوفوكسامين ماليات,Pharmaceutical preperations
flux,تَدَفُّق - صُهارة,common entries
flux gain,زيادةُ التَّدفُّق,common entries
fly,ذُبابة,common entries
fly ash,رماد متطاير,Common entries
fly bites,لسعات الذُباب,parasitology
fmri of the brain,تصوير بالرنين المغناطيسي الوظيفي للدماغ,Common entries
fiber,لِيف,histology
fiber glass,ألياف زجاجية,Rehabilitation
fiber modified diet,نظامٌ غذائيٌّ مُعَدَّل الأَليَاف,Nutrition and dietetics
fiberglass,فيبرغلاس,Biochemistry and Chemistry
fiberglass dermatitis,التِهاب الجِلْد بالأليَاف الزجاجية,dermatology
fiberoptic bronchoscopy,تَنْظيرُ القَصَباتِ بالمنظار الليفِيّ البصريّ,
fiberoptic colonoscope,تَنْظيرُ القولون بالمنظار الليفِيّ البصريّ,
fiberoptic duodenoscope,مِنْظارُ الاِثْناعَشَرِيّ الليفِيّ البصريّ,
fiberoptic endoscopic evaluation of swallowing,تقييم البلع بالتنظير الليفي البصري,Gastroenterology
fiberoptic endoscopic evaluation of swallowing (FEES),تَقيِيم البَلْع بِالتَّنظِير الليفِيّ البصريّ,
fiberscope,مِنْظارٌ أَلْيافِيّ,
fibrates,مركبات الفيبرات,Pharmaceutical preperations
fibrates,فِيبرَات,
fibre glass,ألياف زجاجية,Rehabilitation
fibreglass,ليف زجاجيّ,Biochemistry and Chemistry
fibril,ليفٌ دقيق,histology
fibrillary myoclonia,رَمَع العَضَل الليفي,Neurology
fibrillin,فِيبرِيلِين,histology
fibrin,فِبْرين,histology
fibrinocellular,فِبْرينِيٌّ خَلَوِيّ,histology
fibrinogen,فِبرينُوجِين,histology
fibrinogen test,اختبار الفِبرينوجِين,hematology
fibrinogenopenia,قِلَّةُ فِبْرينوجينِ الدَّم,hematology
fibrinogenous,فِبرينُوجِينيّ - فِبْرينِيّ,hematology
fibrinokinase,كينازُ الفِبْرين,hematology
fibrinolytic activity,فعالية حالّة للفبرين,Common entries
fibrinopeptide,فِبْرينِوببتيد,hematology
fibrinoplastic,مكون الليفين,Histology
fibrinoplatelet,صفائحي ليفيني,Histology
fibrinorrhea,سيلان ليفيني,Histology
fibrinose,ليفينوز,Histology
fibrinous pericarditis,الْتِهابُ التَّأْمورِ الفِبْرينِيّ,Cardiology and cadiovascular surgery
fibrin-stabilizing factor,عامل تثبيت الفيبرين,hematology
fibroadenoma,وَرَمٌ غُدِّيٌّ لِيفِيّ,surgery
fibroblast,أَرومَةٌ لِيفِيَّة,surgery
fibroblast growth factor,عامل نمو الأرومات الليفية,Common entries
fibroblastoma,وَرَمٌ أَرومِيٌّ لِيفِيّ,surgery
fibrocartilage,غُضْروفٌ ليفيّ,anatomy
fibrochondritis,الْتِهابُ الغُضْروفِ الليفيّ,surgery
fibrochondrogenesis,تكوُّن غُضْروفِيٌّ لِيفِيّ,Embryology & teratology
fibrochondroma,وَرَمٌ غُضْروفِيٌّ لِيفِيّ,surgery
fibrochondrosarcoma,ساركوما غضروفي ليفي,"Taxonomy, nosology and classification"
fibrocyst,كيسَةٌ لِيفِيَّة,surgery
fibrocystic,كيسِيٌّ لِيفِيّ,surgery
fibrocystic breast changes,تبدلات ليفية كيسية في الثدي,Diagnostics(symptoms&signs)
fibrocystic changes,تغيرات ليفية كيسية,Common entries
fibrocystic disease of the breast,الداءُ الكيسِيُّ اللِّيفِيُّ في الثَّدِي,surgery
fibrodectomy,استئصال ورم ليفي,Oncology
fibro-esteoma,ورم عظمي ليفي,Oncology
fibrofolliculoma,ورم جُرَيْبي ليفي,"Taxonomy, nosology and classification"
fibrofolliculoma,وَرَمٌ حُلَيمِيٌّ جُرَيبِيّ,surgery
fibrogliosis,تكاثرُ النسيج الدبقيّ والليفيّ,surgery
fibroid,شبيه بالليفيّ - وَرَمٌ عَضَلِيٌّ أَمْلَس,surgery
fibroid tumor embolization,إصمام الورم الليفيّ,Radiology and diagnostic technology
fibroidectomy,اسْتِئْصالُ الوَرَمِ اللِّيفِيِّ,surgery
fibrolipoma,وَرَمٌ شَحْمِيٌّ لِيفِيّ,surgery
fibroma,وَرَمٌ لِيفِيّ,surgery
fibroma of the breast,وَرَمٌ لِيفِيٌّ في الثَّدي,surgery
fibromuscular dysplasia,خلل التنسُّج الليفي العضليّ,Common entries
fibromuscular dysplasia (FMD),خَلَلُ التَّنَسُّجِ العَضَلِيُّ اللِّيْفِيّ,surgery
fibromyalgia,أَلَمٌ عَضَلِيّ لِيفي,surgery
fibromyoma,وَرَمٌ عَضَلِيٌّ ليفيّ,"Taxonomy, nosology and classification"
fibromyomectomy,اسْتِئْصالُ الوَرَمِ العَضَلِيِّ الليفي,surgery
fibromyositis,الْتِهابٌ لِيفِيٌّ عَضَلِيّ,surgery
fibromyxolipoma,ورم شحمي مخاطي ليفي,"Taxonomy, nosology and classification"
fibromyxoma,ورم مخاطي ليفي,"Taxonomy, nosology and classification"
fibro-osteoclasia,نقض العظام الليفي,"Taxonomy, nosology and classification"
fibro-osteoma,ورم عظمي-ليفي,"Taxonomy, nosology and classification"
fibroplasia,تَنسُّجٌ لِيْفِيُّ,surgery
fibrosarcoma pl.,ساركومةٌ لِيفِيَّة,surgery
fibrosing alveolitis,الْتِهابُ الأسْنَاخِ الرِّئَوِيَّة المُلَيِّف,surgery
fibrosis,تَلَيُّف,surgery
fibrosis of the lungs,تَلَيُّف الرِّئتين,surgery
fibrositis,التهاب ليفي,Infectious diseases
fibrothorax,تَلَيُّفٌ صَدْرِيّ,surgery
fibrotic myopathy,اعتلال العَضَل التَّلَيُّفيّ,Rheumatology
fibrous,لِيفِيّ,
fibrous hamartoma of infancy,وَرَمٌ ناقص التشكل عِندَ الرَّضِيع,
fibrous myocarditis,التهابُ عَضَلةِ القَلْبِ الليفي,Infectious diseases
fibrous thyroiditis,الْتِهابُ الدَّرَقِيَّة اللِّيفِي,
fibrous trigone,مُثَلَّث لِيفيّ,
fibrovascular proliferation,تَكاثُر لِيفِيٌّ وِعائِيّ,
fibular collum,عُنق الشَّظِيَّة,anatomy
fibular head,رأس الشظية,Rehabilitation
fibular neck,عنق عظم الشظية,Common entries
fibularis brevis,العضلة الشَّظَوِيَّةُ القَصيرَة,anatomy
fibularis longus,العضلة الشَّظَوِيَّةُ الطَويلَة,anatomy
fibularis tertius,العضلة الشَّظَوِيَّةُ الثَّالِثَة,anatomy
fictive kin,قَرِيب مُفْتَرَض,
field,حَقْل,common entries
field clinical research,بحوث سريرية ميدانية,Biostatistics
field epidemiology,المجال الوبائي,Biostatistics
field epidemiology,الوبائيات الميدانية,Biostatistics
field experimental study,دراسة تجريبية ميدانية,Biostatistics
field notes,ملاحظات ميدانية,Biostatistics
field of vision,حقل ُ الرُّؤْيَة,ophthalmology and optics
field ray,شعاع الحقل,Common entries
field survey,مسح ميداني,Biostatistics
field trials,تجارب ميدانية,Biostatistics
field work,عمل ميداني,Biostatistics
figure-eight bandage,ضِمادٌ متقاطع اللفات,
figure-eight suture,خياطَة متقاطعة,surgery
figure-ground relationship,علاقةُ الشكل والخلفية,
filament,خَيط,
filamentous,خَيطِيّ,
filaminopathy,اعتلال العضلات بفيلامين,"Taxonomy, nosology and classification"
filar micrometer,ميكرومتر خيطيٌّ,Diagnostics(symptoms&signs)
filarial scabies,جَرَب يتأثر بمعالجة الخيطيّات,Common entries
filariasis,دَاءُ الفيلاريَّات,parasitology
filgrastim,فيلغراستيم,Biochemistry and Chemistry
filial generation,جِيلُ بَنَوِيّ,
filiform catheter,قِثْطارٌ خَيطِيّ,
filipuncture,وخز خيطي,Surgery
filling factor,عَامِل الحَشُو,Physiatrics and physical medicine
film badge dosimeter,بطاقة فِلْم قياس الجرعة الشعاعية,Radiology and diagnostic technology
film development,تَظهِير الفِلْم,Radiology and diagnostic technology
film fault,خَطأ الفِلم,Radiology and diagnostic technology
film on teeth,طبقةٌ سنية,Radiology and diagnostic technology
film screen mammography,تَصْويرُ الثَّدْيِ الشُّعاعِيّ بحجاب فلمي,Radiology and diagnostic technology
filovirus,الفيروسات الخيطية (فيلوفيروس),virology
filter,مُرَشِّح,Radiology and diagnostic technology
filter funnel,قِمْعُ التَرْشِيح,Laboratory medicine
filtered back projection,مَسقَط راجع مفَلتَر,Radiology and diagnostic technology
filtration,تَرْشيح,Radiology and diagnostic technology
filtration surgery,جراحة ترشيحية,Common entries
filum,خيط,histology
fimasartan,فيماسارتان,Pharmaceutical preperations
fimbria,خَمَل,
fimbrial tubal pregnancy,حمْلٌ فِي خَمْل الأُنبُوبِ الرحمي,Obstetrics and gynecology
fimbriated,مُخَمَّل,
final level amputation,بتر المستوى النهائيّ,Rehabilitation
financial compensation to the surrogate,تعويض مالي لاستئجار الرحم,Obstetrics and gynecology
financial resource assistance,المساعدة في موارد التمويل,"Nursing, midwifery and tocology"
finasteride,فيناستيريد,Pharmaceutical preperations
finasteride,فيناسترايد,Pharmaceutical preperations
fine adjustment screw,لولب إحكام دقيق,Laboratory medicine
fine motor skills,مَهَارَات أداء الحَركَات الدَّقِيقَة,
fine motor skills,مهارات حركية دقيقة,Neurology
fine needle aspiration,رَشْف بالإبرة الدقيقة,Radiology and diagnostic technology
fine particle,جُسَيْم ناعم,Common entries
fine particulate matter,مادة الجسيمات الناعمة,Common entries
fine tremor,رُعاشٌ ناعم,neurology
fine tuning,تعديلات فارقة,Common entries
fine-needle aspiration,الرَّشف بِالإِبرَة الدَّقِيقَة,
fineness,نَقاوَة,
finer identification,تعرف دقيق,Genetics and genetic engineering
finger,إِصْبَع,common entries
finger amputation,بتر إصبع اليد,Rehabilitation
finger clubbing,تَعَجُّر الأصابع,Cardiology and cadiovascular surgery
finger goniometer,مِقْياسُ زَوايا الأَصابِع,
finger prothesis,بدلة تعويضية أصبعية,Rehabilitation
finger pulse therapy,العِلاج بنَبُض الإِصبَع,
finger stick,وَخْز الإِصْبَع,common entries
finger sweep,تنظيفٌ بالإصبع,"Chest, pulmonary and cardiothoratic surgery"
fingernails,أظفار,Dermatology
finger-nose test,اختبار الإِصْبَعِ-الأَنْف,neurology
fingerstick,وخزة الإصبع,Common entries
fsh,هرمون مُنَبِّه للجريب,"Taxonomy, nosology and classification"
fraction of inspired oxygen (FiO2),جُزْءُ الأُكسِجِين المُستَنشَقْ,"Chest, pulmonary and cardiothoratic surgery"
fractals,أشكال هندسية,Biostatistics
fraction of inspired oxygen,جزء الأكسجين المستنشق,"Chest, pulmonary and cardiothoratic surgery"
fractional dilation and curettage,التِّوسِيع والكشط التَّجزيئيّ,Obstetrics and gynecology
fractional excretion of sodium (FENa),الإِفرازْ التجزيئِي للصُّوديُوم,nephrology
fractional flow,جريان تجزيئي,Cardiology and cadiovascular surgery
fractional flow reserve,احتياطي الجريان الجزئي,Cardiology and cadiovascular surgery
fracture - dislocation,كسر خلعي,Orthopedics
fracture hematoma,ورم دموي مع كسر,Common entries
fracture of clavicle,كَسْرٌ في التَّرْقُوَة,orthopedics
fracture of olecranon,كسْر الزُّجّ,orthopedics
fracture of patella,كَسْر الرَّضَفَة,orthopedics
fracture of radius,كَسْر الكُعبُرة,orthopedics
fracture of skull,كَسْر الجُمْجُمَة,orthopedics
fracture tassement,ردّ الكسر,Orthopedics
fracture threshold,عتَبَةُ الكَسْر,orthopedics
fragile data,مُعْطّيَات هَشَّة,Biostatistics
fragile X syndrome,مُتلازِمَة الصِّبغِي إكس الهَشّ,Genetics and genetic engineering
fragiliocytosis,هشاشية الحمراء,Pathology
fragment,قِطْعَة,common entries
fragment parenchyme,حَتَّة مَتْنِيَّة,Common entries
frail elder,مُسِنٌ ضَعِيف,Geriatric medicine and gerontology
frailty,هشاشة,Common entries
fraise,مِثْقَبٌ مَخْرُوْطِيٌّ,surgery
framboesioma,الدَّاءُ العُلَّيقِيّ,Infectious diseases
frame,هَيكَل,common entries
frame of reference,هَيكَلُ المَراجِع,
framed socket,مغرز إطاريّ,Rehabilitation
framycetin,فرامايسيتين,Pharmaceutical preperations
franchise dentistry,طب الأسنان الاستثماريّ,dentistry
francisella,الفرانسيسيلا,Bacteriology
frangula,نَبَق,Botany
frank,صَريح,common entries
fraud,احْتِيال,common entries
freckles,النمَش,"Taxonomy, nosology and classification"
free fatty acid (FFA),حَمْضٌ دُهْنِيّ حُرّ,Biochemistry and Chemistry
free graft,طُعْمٌ حُرّ,surgery
free macrophage,خليةٌ بالعةٌ كبيرةٌ حُرَّة,hematology
free nerve ending,نِهاياتٌ عَصَبِيَّةٌ حُرَّة,neurology
free nitrogen,نتروجين حرّ,Common entries
free radicals,جذور حرة,Cell biology
free thyroxine,الثيروكسين الحُرّ,Endocrinology & metabolism
free thyroxine (FT4) test,اختبار الثيروكسين الحُرّ,Endocrinology & metabolism
free thyroxine index,مَنْسَبُ الثيروكسين الحُرّ,Endocrinology & metabolism
free-air chamber,غُرفَة مُفرَّغَة مِن الهَواء,
freebasing,تَصفِيَة الأَساس,Biochemistry and Chemistry
free-form foot orthosis,جهاز تقويم حُرّ الشكل للقَدم,Rehabilitation
freehand drawing,تصميم يدوي,Rehabilitation
free-induction decay,نخر بدون تحريض,Oncology
free-induction decay (FID),التلاشي غير المحرَّض,Biochemistry and Chemistry
free-radical theory of aging,نَظَرِيَّة دَوْر الجَذْر الحُرّة في الشَّيخُوخة.,Geriatric medicine and gerontology
free-standing tax-exempt clinic,مركز الرعاية المستقل المعفى من الضريبة,health services
freeze fracturing,كسر بالتجميد,Orthopedics
freeze substitution,الإحلال بالتجميد,Physiatrics and physical medicine
freeze-etching,خدش بالتجميد,Physiatrics and physical medicine
freezers,مُجَمِّدات,"Taxonomy, nosology and classification"
freezing,تَجْمُّد,
freezing point,نُقْطَةُ التَجْمُّد,
fremanezumab,فريمانيزيوماب,Pharmaceutical preperations
fremitus,اهتزازٌ مَحْسوس,
fremitus pericardial,رفيف تاموري,Cardiology and cadiovascular surgery
frenectomy,اسْتِئْصالُ اللِّجام,surgery
frenga,فرينجا,"Taxonomy, nosology and classification"
frenotomy,بَضْعُ اللِّجام,surgery
frenulum of labia minora,لِجَام الشُّفْرَين الصَّغيرين,anatomy
frenulum of the ileal orifice,لِجَام الفَوهَة اللَّفائِفيَّة,anatomy
frenulum of the lips,لِجَام الشَّفَتِين,anatomy
frenulum of the tongue,لِجامُ اللِّسان,anatomy
frenum,لِجام,anatomy
freon,فريون,Biochemistry and Chemistry
freon gas,غاز فريون,Biochemistry and Chemistry
frequency,تَوَاتُر، تكرار,Biostatistics
frequency matching,مطابقة أو توافق تكراري,Biostatistics
frequency polygon,مُضَلَّع تكراريّ,Biostatistics
frequency tables,جداول التكرار,Biostatistics
fresh donor embryos,مضغ طازجة من المتبرع,Obstetrics and gynecology
fresh frozen plasma,بلازما طازَجة مُجَمَّدة,hematology
freshening,تَنضِير,surgery
freudian fixation,تثْبِت فرُويد,psychiatry and psychology
freudian slip,زلَّة فرويدية,psychiatry and psychology
freudianism,الفرُويدِيَّة,psychiatry and psychology
friable,هَشّ,common entries
frictional element,عنصر احتكاكي,Common entries
frictional force,قوَّة الاحتِكاك,common entries
frigid,بَارِد، باردة,common entries
fringe field,حَقْلُ فرينج,
fringe science,علم المخمليات,Common entries
frisson,رعشة,Common entries
frit,فَريت,
frôlement,حَفْيَف,common entries
front lens,عدسة أمامية,Laboratory medicine
frontal eye field,حقل جبهي للعين,Common entries
frontal lobe dementia,خَرَف الفَص الجَبهِيّ,psychiatry and psychology
frontal plane imbalance,اختلال التوازن في المستوى الجبهيّ,Rehabilitation
frontal polar cortex,قشرة القطب الجبهي,Common entries
frontal pole,القُطْبُ الجَبْهِيّ,anatomy
frontal section,مَقْطَعٌ جَبْهِيّ,
frontal vein,الوَرِيد الجَبْهِي,anatomy
frontal-temporal dementia,خَرَفٌ جَبْهِيٌّ صُدْغِيّ,psychiatry and psychology
frontocingulate,جبهي حزاميّ,Common entries
frontonasal dysplasia,خَلَلُ التَّنَسُّج الجَبْهِيَّ الأَنْفِيّ,anatomy
frostbite,تَثْلِيْج,common entries
frostnip,قرصة الصقيع,"Taxonomy, nosology and classification"
frottage,تَفريك,common entries
frotteur,مُفَرِّك,common entries
frovatriptan,فروفاتريبتان,Pharmaceutical preperations
frozen eggs for in vitro fertilisation,بيضات متجمدة في الإخصاب في المختبر,Obstetrics and gynecology
frozen section method,طَرِيقة المَقْطَع التَجْميدِيّ,surgery
fructokinase,فركتوكيناز,Enzymology and Zymology
fructosaemia,فرط فركتوز الدم,Biochemistry and Chemistry
fructosamine test,اختبار فركتوزامين,
fructose,فركتوز,hematology
fructose intolerance,عَدَمُ تَحَمُّلُ الفركتوز,
fructosemia,فركتوز الدَّم,hematology
fructosuria,بيلَة فركتوز,Biochemistry and Chemistry
fructosuria,بِيلَةٌ فركتوزيَّة,nephrology
fruits,فواكه,Botany
frusemide,فروسيمايد,Pharmaceutical preperations
free induction decay,التخامد التلقائي,Physiatrics and physical medicine
ftorafur,فتورافور,Pharmaceutical preperations
ft. (=1. foot 2. fiat),مختصر يُعْمَل,
functional residual capacity (FRC),السَّعَةُ الوَظيفِيَّةُ المُتَبَقِّيَة,"Chest, pulmonary and cardiothoratic surgery"
fuberidazole,فيوبيريدازول,Biochemistry and Chemistry
fucosidosis,الدَّاءُ الفوكوزيدي,
fugillin,فيوجيلين,Pharmaceutical preperations
fugue state,شرود,Common entries
fulcrum,مُرْتَكَز,common entries
fulfillment,إِنجاز,common entries
fulgurate,يَصْعَق,common entries
full bath,حَمَّامٌ كامِل,common entries
full denture,تعويضاتٌ سنِّيَّةٌ كامِلَة,dentistry
full ophthalmologic examination,فحص كامل للعين,Ophthalmology and optics
full pulse,نَبْضٌ مَليء,Cardiology and cadiovascular surgery
full range of motion,المجال التام للحركة,Common entries
full term,مُكتَمِل المُدَّة,Obstetrics and gynecology
full thickness grafts,طعوم بثخانة جلدية كاملة,Dermatology
full weight-bearing,حمل الجسم بكامله,Orthopedics
full weight-bearing (FWB),حَمل الوَزْن الكَامِل,orthopedics
full-arch wire,سِلْك بِشكْلِ قَوس كامِل,dentistry
full-field digital mammography,تصوير الثدي الرقمي لكامل الحقل,Radiology and diagnostic technology
full-fledged,كامل الأوصاف,Common entries
full-liquid diet,نظامٌ غذائيٌّ يقتصر على السَّوائِل,Nutrition and dietetics
full-lung tomography,تَصوِيرٌ مَقطَعِي لِكامِل الرِّئَتِين,Radiology and diagnostic technology
full-risk HMO,منظمة حفظ الصحة من جميع المخاطر,health services
full-width half maximum,النصف الأقصى للعرض الكامل,Physiatrics and physical medicine
full-width half maximum (FWHM),العَرْض الكَامِل عِندَ نِصْف القِيمَة العُظْمَى,
fully open adoptive couple relationship,علاقة تبنِّي مفتوحة تمامًا مع الأبوين البيولوجيين,Obstetrics and gynecology
fully open donating couple relationship,علاقة تبرُّع مفتوحة تمامًا مع الزوجين المتبرعين,Obstetrics and gynecology
fulminating,خَاطِف,
fulvestrant,فولفيسترانت,oncology
fulvicin,فيولفيسين,Pharmaceutical preperations
fumadil,فيوماديل,Pharmaceutical preperations
fume hood,قبعة واقية من الدخان,Common entries
fumes,أدخنة,Pharmaceutical preperations
fumigate,إدْخان,
fumonisin,فيومونيسين,Mycology
function recovery,استعادة الوظائف,Pathology
functional ability,قدرة وظيفية,Health services
functional amputation level,مستوى البتر الوظيفيّ,Rehabilitation
functional analysis,التَّحليل الوَظيفِيّ,Psychiatry and Psychology
