en	ar	section	type	source
forestomach	مُقَدَّمُ المعِدة	ANATOMY	term	WHO_UMD
forestry	الحراجة	COMMON ENTRIES	term	WHO_UMD
forewaters	جَيبُ المِياه	OBSTETRICS AND GYNECOLOGY	term	WHO_UMD
forge	حِدادة	REHABILITATION	term	WHO_UMD
forgiveness facilitation	تسْهِيل الغُفرَان	NURSING, MIDWIFERY AND TOCOLOGY	term	WHO_UMD
fork	شَوكَة	COMMON ENTRIES	term	WHO_UMD
forked tongue	لِسانٌ مُتَشَعِّب	COMMON ENTRIES	term	WHO_UMD
formal	رسمي	COMMON ENTRIES	term	WHO_UMD
formal operations	عَملِيَّات نظاميّة	GENERAL	term	WHO_UMD
formalin	فورمالين	BIOCHEMISTRY AND CHEMISTRY	term	WHO_UMD
formation	تَشْكيل	GENERAL	term	WHO_UMD
formative evaluation	تَقيِيم تَشكيلي	GENERAL	term	WHO_UMD
formestane	فورميستان	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
formic acid	حَمْض الفورميك	BIOCHEMISTRY AND CHEMISTRY	term	WHO_UMD
formoterol fumarate	فورموتِرول فومارات	BIOCHEMISTRY AND CHEMISTRY	term	WHO_UMD
formula	الوصفة	COMMON ENTRIES	term	WHO_UMD
formulary	كُتَيِّبُ الوَصْفات	BIOCHEMISTRY AND CHEMISTRY	term	WHO_UMD
formulating drug	تشكيل الدواء	COMMON ENTRIES	term	WHO_UMD
formulation	تَرْكيبَة	BIOCHEMISTRY AND CHEMISTRY	term	WHO_UMD
formulory	كتاب الوصفات الطبية	PHARMACEUTICAL PREPERATIONS	phrase	WHO_UMD
formyl peptide	بيبتيد فورميلي	BIOCHEMISTRY AND CHEMISTRY	term	WHO_UMD
formylated peptide	بيبتيد فورميلي	BIOCHEMISTRY AND CHEMISTRY	term	WHO_UMD
formylmethionine	فورميلميثيونين	BIOCHEMISTRY AND CHEMISTRY	term	WHO_UMD
fornix cerebri	القَبْوُ الدِّمَاغِيّ	ANATOMY	term	WHO_UMD
forskolin	قلفة	ANATOMY	term	WHO_UMD
fortified vitamin D milk	لَبَن مزوَّد بالڤيتامين «د»	NUTRITION AND DIETETICS	phrase	WHO_UMD
fortuitous association	ترابط تصادفي	BIOSTATISTICS	term	WHO_UMD
fortuitous relationship	علاقَةٌ تصَادُفِيَّة	BIOSTATISTICS	term	WHO_UMD
forward chaining	تَسَلْسُل تَقدُّميّ	GENERAL	term	WHO_UMD
forward survival estimate	تقدير العيوشية الاستباقي	BIOSTATISTICS	phrase	WHO_UMD
forward-leaning posture	وَضْعِيَّة الإِنْحِناء الأَمامِي	CHEST, PULMONARY AND CARDIOTHORATIC SURGERY	phrase	WHO_UMD
fosmid	فوسميد	GENETICS AND GENETIC ENGINEERING	term	WHO_UMD
fosamprenavir	فوسامبرينافير	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
foscarnet	فوسكارنيت	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
fosfestrol	فوسفيستريول	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
fosfocreatine	فسفوكرياتين	BIOCHEMISTRY AND CHEMISTRY	term	WHO_UMD
fosinopril	فوسينوبريل	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
fosphenytoin	فوسفينيتوئين	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
fossa	حُفرَة	ANATOMY	term	WHO_UMD
fotemustine	فوتيموستين	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
fo-ti	فوتي	TRADITIONAL MEDICINE, FOLK MEDICINE	term	WHO_UMD
foundation	أَسَاس	DENTISTRY	term	WHO_UMD
foundation model	مؤَسَّسَة نموذجية	HEALTH SERVICES	term	WHO_UMD
four prong adapter	لؤمة بأربعة مغارز	REHABILITATION	phrase	WHO_UMD
fourfold table	جَدْوَلٌ رُبَاعيّ	BIOSTATISTICS	term	WHO_UMD
four-handed dentistry	طِبُّ الأَسنَان بطبيب ومساعد	DENTISTRY	phrase	WHO_UMD
four-poster orthosis	جهاز تقويم رُبَاعِي القَوَائِم	REHABILITATION	phrase	WHO_UMD
four-tailed bandage	عِصابَةٌ رُباعِيَّةُ الذُّيول	GENERAL	phrase	WHO_UMD
fourth posterior sacral foramen	الثقبة العجزية الخلفية الرابعة	ORTHOPEDICS	phrase	WHO_UMD
fourth stage of labor	المَرحَلة الرَّابِعة من المَخاض	OBSTETRICS AND GYNECOLOGY	phrase	WHO_UMD
fourth ventricle	البُطيْن الرَّابِع	ANATOMY	term	WHO_UMD
fourth world	العالم الرابع	PUBLIC HEALTH, COMMUNITY MEDICINE AND HYGIENE	term	WHO_UMD
fourth-degree burn	حَرْق من الدَرجَة الرَّابِعة	NEUROLOGY	phrase	WHO_UMD
fourth-generation cephalosporin	سيفالوسبورين من الجِيل الرَّابِع	PHARMACEUTICAL PREPERATIONS	phrase	WHO_UMD
fourth-generation scanner	أَجهِزة تَصوِير من الجِيل الرَّابِع	RADIOLOGY AND DIAGNOSTIC TECHNOLOGY	phrase	WHO_UMD
fovea	النُقَيرَة	ANATOMY	term	WHO_UMD
fovea capitis	نُقْرَةُ رَأسِيَّة	ANATOMY	term	WHO_UMD
flattening the curve of COVID-19 pandemic	تسطيح منحنى جائحة كوفيد-19	INFECTIOUS DISEASES	sentence	WHO_UMD
flavin adenine dinucleotide	ثنائي نوكليوتيد الفلامين والأدنين	BIOCHEMISTRY AND CHEMISTRY	phrase	WHO_UMD
fl. dr.	دِرْهَمٌ سائِل	MEASURES	term	WHO_UMD
fl. Dram	دِرْهَمٌ سائِل	MEASURES	term	WHO_UMD
flab	تَرَهُّل	REHABILITATION	term	WHO_UMD
flabby flap	سديلة مترهِّلة	REHABILITATION	term	WHO_UMD
flaccid	رَخْو	COMMON ENTRIES	term	WHO_UMD
flaccid bladder	مَثانة رَخوَة	GENERAL	term	WHO_UMD
flagellant	مهووسٌ بالجَلْد	SEXOLOGY	term	WHO_UMD
flagellate	سَوطِيّ	COMMON ENTRIES	term	WHO_UMD
flagellation	الجَلْد - تدليك بالأصابع - هوس الجلد - ترتيب السياط	SEXOLOGY	sentence	WHO_UMD
flagyl	فلاجيل	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
flaked	متندِّف	COMMON ENTRIES	term	WHO_UMD
flame photometry	قِياسٌ ضَوئِيّ لِلَّهَب	GENERAL	phrase	WHO_UMD
flaming	تَلْهيب	LABORATORY MEDICINE	term	WHO_UMD
flammable	سَرِيع الاِشتِعال	COMMON ENTRIES	term	WHO_UMD
flange	شِفاه	COMMON ENTRIES	term	WHO_UMD
flap reconstruction	إعادةُ البناء بالسدِيلة	SURGERY	phrase	WHO_UMD
flap surgery	جِراحة بسَديلة	SURGERY	term	WHO_UMD
flare	وَهيج	DERMATOLOGY	term	WHO_UMD
flare-up	ظهور مفاجئ	COMMON ENTRIES	term	WHO_UMD
flaring of nostrils	اتِّساعُ المِنخَرِين	CHEST, PULMONARY AND CARDIOTHORATIC SURGERY	phrase	WHO_UMD
flash point	نقطة الومضان	PHYSIATRICS AND PHYSICAL MEDICINE	term	WHO_UMD
flashback	تذكُّر خاطف	TOXICOLOGY	term	WHO_UMD
flashover phenomenon	ظَاهِرة الوَمِيض السَّطحِي	GENERAL	phrase	WHO_UMD
flask	قارورة	COMMON ENTRIES	term	WHO_UMD
flask closure	غَلْقُ القارورة	COMMON ENTRIES	term	WHO_UMD
flat	مكتوم	DIAGNOSTICS(SYMPTOMS&SIGNS)	term	WHO_UMD
flat affect	الشُّعُور المُسَطَّح	PSYCHIATRY AND PSYCHOLOGY	term	WHO_UMD
flat orthosis	مقوام مُسَطَّح	REHABILITATION	term	WHO_UMD
flat prothesis	بدلة تعويضية مُسَطَّحة	REHABILITATION	phrase	WHO_UMD
flat spring contraceptive diaphragm	العَازِلُ المانِعُ للحَمْل المُسَطَح ذو الرفَّاص	GENERAL	sentence	WHO_UMD
flatfoot	قَدَمٌ مُسَطَّحة	ORTHOPEDICS	term	WHO_UMD
flattening the curve	تسطيح منحنى وباء فيروس كوفيد-19	INFECTIOUS DISEASES	phrase	WHO_UMD
flatulence	تَطَبُّلُ البَطْن	GASTROENTEROLOGY	term	WHO_UMD
flatulence reduction	تخْفِيف تَطبُّل البَطن	GASTROENTEROLOGY	phrase	WHO_UMD
flatulent	غازيّ هضميّ	GASTROENTEROLOGY	term	WHO_UMD
flatus	غازات هضمية	GASTROENTEROLOGY	term	WHO_UMD
flaval ligaments	الأَربِطَة الصَّفرَاء	ANATOMY	term	WHO_UMD
flavin monooxygenase	فلافين مونوأكسجيناز	COMMON ENTRIES	term	WHO_UMD
flavine	فلافين	BIOCHEMISTRY AND CHEMISTRY	term	WHO_UMD
flavocoxid	فلافُوكوكسِيد	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
flavone	فلافون	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
flavoxate hydrochloride	فلافوكسات هيدروكلوريد	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
flax	الكُتان	TRADITIONAL MEDICINE, FOLK MEDICINE	term	WHO_UMD
flaxedil	فلاكسيديل	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
flea	بُرْغوث	PARASITOLOGY	term	WHO_UMD
flea bite	لَدْغَة البَرغُوث	PARASITOLOGY	term	WHO_UMD
flecainide	فليكاينايد	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
flecainide	فِليكينايد	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
flecainide acetate	فِليكينايد أسيتات	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
fleroxacin	فليروكساسين	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
flesh lump	قطعة لحمية	PATHOLOGY	term	WHO_UMD
flexibility	مُرُوْنَة	COMMON ENTRIES	term	WHO_UMD
flexible sigmoidoscopy	منظار مرن للمستقيم	GASTROENTEROLOGY	phrase	WHO_UMD
flexible socket	مغرز مرن	REHABILITATION	term	WHO_UMD
flexion	ثني	ANATOMY	term	WHO_UMD
flexion	ثَنْي	COMMON ENTRIES	term	WHO_UMD
flexion assist	عَوْن الانثناء	REHABILITATION	term	WHO_UMD
flexion contracture	انكماش انثنائيّ	REHABILITATION	term	WHO_UMD
flexion deformities	تشوهات بالانثناء	RHEUMATOLOGY	term	WHO_UMD
flexion jacket	سُترة الثَني	ORTHOPEDICS	term	WHO_UMD
flexion moment	عَزْم الانثناء	REHABILITATION	term	WHO_UMD
flexion orthosis	مقوام انثنائي	REHABILITATION	term	WHO_UMD
flexion prothesis	بدلة تعويضية انثنائية	REHABILITATION	phrase	WHO_UMD
flexor	عضلة مُثْنِيَة	ANATOMY	term	WHO_UMD
flexor carpi radialis	العَضَلَةُ الكُعْبُرِيَّةُ المُثْنِيَةُ للرُّسُغ	ANATOMY	phrase	WHO_UMD
flexor carpi ulnaris	العَضَلَةُ الزَّنْدِيَّةُ المُثْنِيَةُ للرُّسُغ	ANATOMY	phrase	WHO_UMD
flexor digiti minimi brevis	العَضَلَةُ المُثْنِيَةُ للأَصَابِعِ الصَّغِيرَة	ANATOMY	phrase	WHO_UMD
flexor digitorum brevis	العَضَلَةُ المُثْنِيَةُ القَصيرَةُ للأَصَابِعِ	ANATOMY	phrase	WHO_UMD
flexor digitorum longus	العَضَلَةُ المُثْنِيَةُ الطَويلَةُ للأَصَابِعِ	ANATOMY	phrase	WHO_UMD
flexor digitorum profundus	العَضَلَةُ المُثْنِيَةُ العَميقَةُ للأَصَابِعِ	ANATOMY	phrase	WHO_UMD
flexor digitorum superficialis	العَضَلَةُ المُثْنِيَةُ السَّطْحِيَّةُ للأَصابِع	ANATOMY	phrase	WHO_UMD
flexor hallucis brevis	العَضَلَةُ المُثْنِيَةُ القَصيرَةُ لإِبْهامِ القَدَم	ANATOMY	phrase	WHO_UMD
flexor hallucis longus	العَضَلَةُ المُثْنِيَةُ الطَّويلَةُ لإِبْهامِ القَدَم	ANATOMY	phrase	WHO_UMD
flexor orthosis	مقوام انثنائي	REHABILITATION	term	WHO_UMD
flexor pollicis brevis	العَضَلَةُ المُثْنِيَةُ القَصِيرَةُ لإِبْهَامِ اليَدِ	ANATOMY	phrase	WHO_UMD
flexor pollicis longus	العَضَلَةُ المُثْنِيَةُ الطَّويلَةُ لإِبْهَامِ اليَدِ	ANATOMY	phrase	WHO_UMD
flexor prothesis	بدلة تعويضية انثنائية	REHABILITATION	phrase	WHO_UMD
flexor retinaculum of ankle	قَيدُ العضلات المُثْنِية للكاحِل	ANATOMY	phrase	WHO_UMD
flexor retinaculum of wrist	قَيدُ العضلات المُثْنِية للرُّسُغ	ANATOMY	phrase	WHO_UMD
flexor withdrawal reflex	مُنْعَكَسُ السحب بالثَّنْيِ	PHYSIOLOGY	phrase	WHO_UMD
flextime	وقت مَرِن	COMMON ENTRIES	term	WHO_UMD
flexural modulus	مُعامِل الانثناء	COMMON ENTRIES	term	WHO_UMD
flexure	ثَنْيَة	COMMON ENTRIES	term	WHO_UMD
flibanserin	فليبانسيرين	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
flicks	تثبيت النظر	COMMON ENTRIES	term	WHO_UMD
flight into health	تَهرب	COMMON ENTRIES	phrase	WHO_UMD
flight of ideas	تَوارد الأَفْكار	COMMON ENTRIES	phrase	WHO_UMD
flight to illness	تَمارُض	COMMON ENTRIES	phrase	WHO_UMD
flight-or-fight reaction	تَفاعُل اهرُب أَو اضرب	GENERAL	phrase	WHO_UMD
flight-or-fight response	استجابة الضرب أو الهرب	COMMON ENTRIES	phrase	WHO_UMD
flip angle	زاوية التقليب	GENERAL	term	WHO_UMD
floater	الذُباب الطَّائِر	OPHTHALMOLOGY AND OPTICS	term	WHO_UMD
floating antigens	مستضدات سائبة	IMMUNOLOGY	term	WHO_UMD
flocculant	مُندِّف	COMMON ENTRIES	term	WHO_UMD
flocculation test	اختبار التَنَدُّف	COMMON ENTRIES	term	WHO_UMD
flocculent	مُتَنَدِّف	COMMON ENTRIES	term	WHO_UMD
flocoumafen	فلوكومافين	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
floctafenine	فلوكتافينين	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
flomax	فلوماكس	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
flomoxef	فلوموكسيف	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
flooding	سَيْل - إفاضة	COMMON ENTRIES	phrase	WHO_UMD
floor	قاع دراسة سريرية	BIOSTATISTICS	phrase	WHO_UMD
floor reaction orthosis	مقوام تفاعلي أرضي	REHABILITATION	phrase	WHO_UMD
floor reaction prothesis	بدلة تعويضية تفاعلية أرضية	REHABILITATION	phrase	WHO_UMD
floppy infant syndrome	مُتَلاَزِمَةُ الرَّضَيعِ الرّخو	GENERAL	phrase	WHO_UMD
flopropione	فلوبروبيون	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
flora	نَبيت	COMMON ENTRIES	term	WHO_UMD
floraquin	فلوراكوين	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
florid	مُزْهِر	COMMON ENTRIES	term	WHO_UMD
flosequinan	فلوسيكوينان	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
flossing	تنظيف الأسنان بالخيط	DENTISTRY	phrase	WHO_UMD
flotation device	جِهاز تخفيف الضغط	GENERAL	phrase	WHO_UMD
flotation therapy	العِلاج بِتخفيف الضغط	GENERAL	phrase	WHO_UMD
flow chart	مخطط المجريات	BIOSTATISTICS	term	WHO_UMD
flow cycling	تدوير الجريان	CHEST, PULMONARY AND CARDIOTHORATIC SURGERY	term	WHO_UMD
flow cytometry	تعداد الخلايا الجرياني	COMMON ENTRIES	phrase	WHO_UMD
flow cytometry	قِياس الجَريان الخُلوِي	GENERAL	phrase	WHO_UMD
flow cytometry	تعداد الخلايا بالجريان	LABORATORY MEDICINE	phrase	WHO_UMD
flow diagram	مبيان أو مُخَطَّط المجريات	BIOSTATISTICS	phrase	WHO_UMD
flow rate	معدل الجريان	OPHTHALMOLOGY AND OPTICS	term	WHO_UMD
flow sheet	صَحيفَة المتابعة	NURSING, MIDWIFERY AND TOCOLOGY	term	WHO_UMD
flow transducer	مِقياس حجم الجريان	GENERAL	phrase	WHO_UMD
flow trigger	زِناد الجَريَان	GENERAL	term	WHO_UMD
flower essences	رُوح الزُهْر	TRADITIONAL MEDICINE, FOLK MEDICINE	term	WHO_UMD
flow-volume curve	مُنحنى حَجم التَدفق	GENERAL	phrase	WHO_UMD
flow-volume dysequilibrium	خَلَلُ التَّوازُن بين الحَجم والتَدفق	GENERAL	phrase	WHO_UMD
flow-volume loop	عروة حجم التدفق	GENERAL	phrase	WHO_UMD
floxuridine	فلوكسوريدين	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
flu	إنفلونزا	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
flu like	شبيه بالإنفلونزا	COMMON ENTRIES	term	WHO_UMD
flu pandemic	جائحة الإنفلونزا	INFECTIOUS DISEASES	term	WHO_UMD
flu syndrome	متلازمة إنفلونزا	COMMON ENTRIES	term	WHO_UMD
fluanisone	فلوانيسون	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
flucloxacillin	فلوكساسيلين	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
fluconase	فلوكوناز	COMMON ENTRIES	term	WHO_UMD
fluctuant	مُتَمَوِّج	COMMON ENTRIES	term	WHO_UMD
fluctuation	تَمَوُّج	COMMON ENTRIES	term	WHO_UMD
flucythrinate	فلوسايثرينات	BIOCHEMISTRY AND CHEMISTRY	term	WHO_UMD
flucytosine	فلوسيتوزين	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
fludarabine	فلودارابين	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
fludeoxyglucose F 18	فلوديوكسي غلوكوز f18	PHARMACEUTICAL PREPERATIONS	phrase	WHO_UMD
fludiazepam	فليوديازيبام	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
fludroxycortide	فلودروكسيكورتيد	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
fluent	طَليق	COMMON ENTRIES	term	WHO_UMD
fluent aphasia	حُبْسَةٌ طَليقة	PSYCHIATRY AND PSYCHOLOGY	term	WHO_UMD
fluid	سائِل	COMMON ENTRIES	term	WHO_UMD
fluid control	ضبط السوائل	COMMON ENTRIES	term	WHO_UMD
fluid dram	دِرْهَمٌ سائِل	MEASURES	term	WHO_UMD
fluid identity	هوية مائعة	SEXOLOGY	term	WHO_UMD
fluid management	تَدبِير السَّوائِل	PHYSIOLOGY	term	WHO_UMD
fluid monitoring	مُراقَبة السَّوائل	PHYSIOLOGY	term	WHO_UMD
fluid mosaic model	نموذج الـسوائل الموزاييكية	CARDIOLOGY AND CADIOVASCULAR SURGERY	phrase	WHO_UMD
fluid ounce	أُونْصَةٌ سائِلَة	PHYSIOLOGY	term	WHO_UMD
fluid overload	فَرط حمل السَّوائِل	PHYSIOLOGY	phrase	WHO_UMD
fluid overload severity	شِدَّة فَرط حمل السَّوائِل	PHYSIOLOGY	phrase	WHO_UMD
fluid resuscitation	الإِنعَاش بالسَّوائِل	PHYSIOLOGY	term	WHO_UMD
fluid retention	احْتِباس السَّوائِل	PHYSIOLOGY	term	WHO_UMD
fluid therapy	العِلاج بالسوائِل	PHYSIOLOGY	term	WHO_UMD
fluid transport medium	مُسْتَنْبَتُ نقل السوائل	HEMATOLOGY	phrase	WHO_UMD
fluid volume	حَجمُ السَّوائِل	PHYSIOLOGY	term	WHO_UMD
fluid volume imbalance	خلل التَوازُن في حَجْم السَّوائِل	PHYSIOLOGY	phrase	WHO_UMD
fluid/electrolyte management	تدبير تَوازُن السَّوائِل والكهارل	PHYSIOLOGY	phrase	WHO_UMD
fluidic ventilator	جهاز تنفسيّ جريانيّ	PHYSIOLOGY	phrase	WHO_UMD
fluidity of gender identity	ميوعة الهوية الجندرية	SEXOLOGY	phrase	WHO_UMD
fluidized air bed	سرير بمجرى هوائي	PHYSIOLOGY	phrase	WHO_UMD
fluid therapy	علاج السَّوائِل	PHYSIOLOGY	term	WHO_UMD
fluids	سوائل	PHYSIATRICS AND PHYSICAL MEDICINE	term	WHO_UMD
fluindione	فلوينديون	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
fluke	دودَةٌ مَثْقوبَة	PARASITOLOGY	term	WHO_UMD
flumazenil	فليومازينيل	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
flumequine	فلوميكوين	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
flumethasone	فلوميثاسون	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
flumidin	فلوميدين	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
flunoxaprofen	فليونوكسابروفين	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
fluocinolone acetonide	فلوسينولون أسيتونايد	BIOCHEMISTRY AND CHEMISTRY	term	WHO_UMD
fluocinonide	فلوسينونيد	DERMATOLOGY	term	WHO_UMD
fluocortolone	فلوكورتولون	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
fluonid	فلونيد	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
fluopromazine	فلوبرومازين	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
fluorescein angiography	تصوير الأوعية بالفلوروسيين	OPHTHALMOLOGY AND OPTICS	phrase	WHO_UMD
fluorescein dilaurate	فلوريسئين ديلورات	BIOCHEMISTRY AND CHEMISTRY	term	WHO_UMD
fluorescence	تَأَلُّق	BIOCHEMISTRY AND CHEMISTRY	term	WHO_UMD
fluorescence angiography	تصوير الأوعية التألقي	OPHTHALMOLOGY AND OPTICS	phrase	WHO_UMD
fluorescent antibody	ضد تَأَلُّقِيّ	IMMUNOLOGY	term	WHO_UMD
fluorescent antibody test (FA test)	اختبار الضِّد المُتأَلِّق	BIOCHEMISTRY AND CHEMISTRY	phrase	WHO_UMD
fluorescent in situ hybridization	تهجين تألقيّ في الموضع	IMMUNOLOGY	phrase	WHO_UMD
fluorescent in situ hybridization (FISH)	التَهجِينُ التَألُّقِي في الموضع	BIOCHEMISTRY AND CHEMISTRY	phrase	WHO_UMD
fluorescent microscopy	الفَحْصُ المِجْهَرِيّ التَألُّقِي	BIOCHEMISTRY AND CHEMISTRY	phrase	WHO_UMD
fluorescent treponemal antibody absorption test (FTA-ABS test)	اختبار امْتِصاصِ الأضداد المُتأَلِّقة للولَبِيَّات	BIOCHEMISTRY AND CHEMISTRY	sentence	WHO_UMD
fluorhydrocortisone	فلورهيدروكورتيزون	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
fluoridation	فَلْوَرَة	BIOCHEMISTRY AND CHEMISTRY	term	WHO_UMD
fluoride	فلوريد	BIOCHEMISTRY AND CHEMISTRY	term	WHO_UMD
fluoride application	تطبيق الفلوريد	BIOCHEMISTRY AND CHEMISTRY	term	WHO_UMD
fluoride poisoning	التَّسَمُّمُ بالفلُوريد	TOXICOLOGY	term	WHO_UMD
fluorination	فَلْوَرَة	BIOCHEMISTRY AND CHEMISTRY	term	WHO_UMD
fluorine	فلورين	BIOCHEMISTRY AND CHEMISTRY	term	WHO_UMD
fluoristan	فلوريستان	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
fluormetholone	فلورميثولون	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
fluoroacetamide	فلوروأسيتاميد	BIOCHEMISTRY AND CHEMISTRY	term	WHO_UMD
fluoroacetic acid	حمْض فلوروأسيتيك أسيد	BIOCHEMISTRY AND CHEMISTRY	phrase	WHO_UMD
fluorocarbons	مركبات كربونفلور	BIOCHEMISTRY AND CHEMISTRY	term	WHO_UMD
fluorochrome stain	صبْغَة تَألُّقِيَّة	BIOCHEMISTRY AND CHEMISTRY	term	WHO_UMD
fluorocytosine	فلوروسايتوزسين	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
fluorodeoxyglucose tracer	قائف فلوروديأوكسيغلوكوز	RADIOLOGY AND DIAGNOSTIC TECHNOLOGY	term	WHO_UMD
fluorodeoxyuridine	فلوروديوكسيوريدين	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
fluorodopa F 18	فلورودروبا F 18	BIOCHEMISTRY AND CHEMISTRY	phrase	WHO_UMD
fluorometry	قِياسُ التَّأَلُّق	BIOCHEMISTRY AND CHEMISTRY	term	WHO_UMD
fluoroquinolone	فلوروكينولون	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
fluoroquinolones	مركبات فلوروكوينولون	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
fluoroscope	مِنْظارُ التَّأَلُّق	BIOCHEMISTRY AND CHEMISTRY	term	WHO_UMD
fluoroscopic compression device	جهاز الضغط التنظيري	GENERAL	phrase	WHO_UMD
fluoroscopy	تنْظِير	GENERAL	term	WHO_UMD
fluorosis	التَّسَمُّمُ بالفلور	TOXICOLOGY	term	WHO_UMD
fluorosol	فلوروسول	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
fluorotrichloromethane	فلوروتريكلوروميثان	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
fluorouracil	فلورويوراسيل	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
fluorphenylalanine	فلورفينيلألانين	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
fluothane	فلوثان	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
fluoxetine	فلوكسيتين	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
fluoxetine hydrochloride	فلوكسيتين هيدروكلورايد	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
fluoxymesterone	فلوكسي ميسترون	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
flupenthixol	فلوبينثيكسول	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
flupenthixol decanoate	فلوبينثيكسول ديكونات	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
flupenthixol hydrochloride	فلوبينثيكسول هيدروكلورايد	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
flupentixol	فلوبينتيكسول	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
fluphenazine hydrochloride	فلوفينازين هيدروكلوريد	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
flupirtine	فلوبيرتين	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
fluprednidene	فلوبريدنيدين	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
fluradoline	فلورادولين	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
flurazepam hydrochloride	فلورازيبام هيدروكلورايد	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
flurbiprofen	فلوربيبروفين	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
flurbiprofen sodium	فلوربيبروفين صوديوم	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
flurithromycin	فلوريثرومايسين	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
flurobate	فلوروبات	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
fluroxene	فلوروكسين	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
flush	احمرارُ الوجه	COMMON ENTRIES	term	WHO_UMD
flush device	جِهاز تنظيم التسريب	NURSING, MIDWIFERY AND TOCOLOGY	phrase	WHO_UMD
flutamide	فلوتامايد	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
flutamide	فلوتاميد	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
flutazolam	فليوتازولام	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
fluticasone	فليوتيكاسون	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
fluticasone	فلوتيكازون	PHARMACEUTICAL PREPERATIONS	term	WHO_UMD
